ticker,prob_outperform,rank_pct
CIEN,0.5762595312776269,1.0
AES,0.5740779219696438,0.998
NUE,0.5653928395060823,0.996
MNST,0.5653230316469445,0.994
DDOG,0.5640231427780467,0.992
STLD,0.5638767315869255,0.99
ALB,0.562265757918791,0.988
CAH,0.5610435827755983,0.986
MU,0.5597593200828664,0.984
HAL,0.5588070434773477,0.982
INTC,0.5586241744511113,0.98
STX,0.5570118020582321,0.978
WMT,0.5563367638057902,0.976
WST,0.556309619355256,0.974
COHR,0.5555066650003888,0.972
ADM,0.554648130684079,0.97
EA,0.5540604728853901,0.968
DAL,0.553460266402022,0.966
APA,0.5529891493344137,0.964
MGM,0.5527640174619268,0.962
JBHT,0.5519485671828324,0.96
MO,0.5517547839460546,0.958
LUV,0.5514937245450736,0.956
TER,0.5514516536625127,0.954
GL,0.5511506145572924,0.952
UAL,0.5508425207030263,0.95
SNDK,0.5506484611320581,0.948
TPR,0.5492804454540422,0.946
MAR,0.5488425460684441,0.944
PKG,0.548457833394673,0.942
NEE,0.5481357852998724,0.94
ABBV,0.5476110920724001,0.938
CAT,0.5475169383905614,0.936
FIX,0.5473954713869669,0.934
COR,0.5472661102141148,0.932
ROST,0.5470558092742747,0.93
AMD,0.5468234086460754,0.928
ATO,0.5455914365734033,0.926
PH,0.5453149020203177,0.924
WDC,0.5451422980627024,0.922
LNT,0.544879003387968,0.92
RL,0.5442766484420496,0.918
URI,0.544247895545384,0.916
FANG,0.5442340565136752,0.914
UNH,0.5441855876232631,0.912
EXPE,0.5440390567775548,0.91
LITE,0.5438677844357334,0.908
BG,0.5436614221990115,0.906
FDX,0.5435264974221482,0.904
SWK,0.5434275337309687,0.902
CVS,0.5434223396804052,0.9
ETR,0.5433367622740113,0.898
ECHO,0.543333514534268,0.896
WAB,0.5428985986907836,0.894
F,0.5423597134268963,0.892
EVRG,0.5422183703972193,0.89
XEL,0.5419482553264421,0.888
HST,0.5419126783254646,0.886
AEP,0.5417932599491668,0.884
FLEX,0.5417386905869778,0.882
GNRC,0.5414342685186954,0.88
CNP,0.5412643625635121,0.878
LRCX,0.5411083373364686,0.876
JBL,0.5407543736365661,0.874
SPG,0.5407152641298285,0.872
HPE,0.5407121993477384,0.87
CVX,0.5406739009892115,0.868
DTE,0.5405272772587527,0.866
MRVL,0.5404450343907456,0.864
TJX,0.5402947377777337,0.862
PSA,0.5399065354940715,0.86
IEX,0.5398132919472887,0.858
XOM,0.53961078453869,0.856
GLW,0.5396026151542676,0.854
PWR,0.539554617257527,0.852
WAT,0.5395145425487653,0.85
WEC,0.5392330362943941,0.848
ES,0.538990918667066,0.846
FRT,0.5389355936034501,0.844
TGT,0.5387778922549631,0.842
MAS,0.5387352365995323,0.84
OXY,0.5381837884966664,0.838
TMO,0.5374008732233703,0.836
COP,0.5373607053449954,0.834
TRGP,0.5372260769960753,0.832
CSCO,0.5370341746178365,0.83
BKR,0.5362104416429428,0.828
