ticker,prob_outperform,rank_pct
ECHO,0.5512408737700499,1.0
NUE,0.5447143242221657,0.998
STLD,0.5435326769653842,0.996
SNDK,0.5430423863478345,0.994
MU,0.542531611992974,0.992
INTC,0.538276310800011,0.99
STX,0.537378501708643,0.988
GOOG,0.5351360040209803,0.986
CAT,0.535115544627159,0.984
ALB,0.5342767182287972,0.982
GNRC,0.5331019835075365,0.98
ZTS,0.5322994943704198,0.978
AMD,0.5321047598174852,0.976
GOOGL,0.5319661440319564,0.974
TER,0.5314882205940612,0.972
HPE,0.5300279322267822,0.97
GLW,0.5299347154845769,0.968
TSCO,0.528261816088397,0.966
CIEN,0.5280178083095123,0.964
COHR,0.5265585210017129,0.962
CSCO,0.5264478382671307,0.96
NEM,0.5257601690486908,0.958
CNC,0.5253923723042446,0.956
HST,0.52490539326485,0.954
LRCX,0.5247684446352362,0.952
LITE,0.5244151957695414,0.95
SMCI,0.524413322804535,0.948
BG,0.5243209115828208,0.946
HAL,0.523495146916369,0.944
PSKY,0.5212936256965706,0.942
COST,0.5210172210989702,0.94
TPR,0.5208390874955965,0.938
MRVL,0.5208317522361228,0.936
CMI,0.5204491831695668,0.934
DD,0.5204381028293246,0.932
FIX,0.5197073999998699,0.93
NTAP,0.5194251162091258,0.928
APP,0.5189709746377748,0.926
MGM,0.5188677646385016,0.924
EQIX,0.5187469095974309,0.922
DPZ,0.5185551629731107,0.92
AMAT,0.5185267318876985,0.918
JBL,0.5183449718764983,0.916
MO,0.5178067532416276,0.914
TJX,0.5176833575871562,0.912
HAS,0.5172631312651609,0.91
CHRW,0.5171428176349709,0.908
BLDR,0.5171285655212244,0.906
APH,0.5170305330452745,0.904
LOW,0.5170287971697192,0.902
JBHT,0.5169422699453718,0.9
C,0.5166127411358694,0.898
WSM,0.5166085034020966,0.896
APTV,0.5162563968466684,0.894
DELL,0.5162201172332923,0.892
EL,0.5160871291659195,0.89
TKO,0.5160640732095394,0.888
VRT,0.5159345387137857,0.886
PWR,0.5158811660535879,0.884
CNP,0.515872805505039,0.882
MRNA,0.5158129958322029,0.88
PSA,0.5156744811502442,0.878
LHX,0.5155965725900673,0.876
NI,0.5155734841593324,0.874
FRT,0.5153155032278881,0.872
PPL,0.5150582019292285,0.87
DUK,0.5149907943060196,0.868
WBD,0.5148067355560129,0.866
ORCL,0.5147795091455877,0.864
VTRS,0.514730447517852,0.862
RL,0.514554747837835,0.86
HLT,0.5139844394525617,0.858
HII,0.5139400711821117,0.856
TEL,0.5139241447804751,0.854
SJM,0.5138332782676377,0.852
MLM,0.5137823951965573,0.85
KIM,0.5136580234106954,0.848
DE,0.5133291118757202,0.846
TDY,0.5133130858903862,0.844
DHI,0.513294330887864,0.842
REG,0.5130596440456983,0.84
ARE,0.5128416217004904,0.838
NDSN,0.5126273591328326,0.836
WDC,0.5125919340458199,0.834
SWK,0.512488801303543,0.832
CSX,0.5124367611092457,0.83
CVNA,0.5122285445075617,0.828
URI,0.5121607422559713,0.826
BSX,0.5120676402677671,0.824
FSLR,0.5120612492925756,0.822
SPG,0.5119874986752765,0.82
FTV,0.511987211330543,0.818
DAL,0.5117941573049379,0.816
PEP,0.5117228082652069,0.814
EQT,0.5117028871629948,0.812
HSY,0.5116976455477883,0.81
HUM,0.5116294344108381,0.808
DGX,0.5116212248337917,0.806
CRH,0.5115455283045766,0.804
AMGN,0.5115367968185872,0.802
STZ,0.5115167522787638,0.8
RCL,0.5114812092079157,0.798
AOS,0.5114578469301918,0.796
ROST,0.5114490598308059,0.794
ISRG,0.5114273769369787,0.792
UNP,0.5113921573435116,0.79
MCD,0.5113175380369026,0.788
LDOS,0.5112689487447474,0.786
NCLH,0.5112681584783079,0.784
