ticker,prob_outperform,rank_pct
AES,0.589166726279634,1.0
MU,0.5744522745805849,0.998
CIEN,0.5728072215886044,0.996
NUE,0.569708858317599,0.994
DDOG,0.5692909328558694,0.992
DELL,0.5684081952526302,0.99
INTC,0.5672643486008757,0.988
STLD,0.5668016625629732,0.986
CAH,0.565068674232788,0.984
STX,0.5650108991889732,0.982
ADM,0.561004335242711,0.98
TPR,0.5564714922479912,0.978
ROST,0.5552650288082621,0.976
JBHT,0.5550698537724265,0.974
COHR,0.5547474232453002,0.972
MGM,0.5547259059526574,0.97
ALB,0.5546006330870827,0.968
TER,0.5545640823391157,0.966
MAR,0.5534847957850018,0.964
SNDK,0.5534785450308152,0.962
HAL,0.552475115163747,0.96
MO,0.5521781501764685,0.958
HPE,0.5520122222717383,0.956
WST,0.5517731664561144,0.954
URI,0.5509094859304194,0.952
WDC,0.5505481980030514,0.95
CAT,0.5500448580251173,0.948
FLEX,0.5500117686487351,0.946
CVS,0.549907031828605,0.944
FIX,0.5490478224552613,0.942
EA,0.5487193204350247,0.94
MNST,0.5483863225254884,0.938
WMT,0.5481093312473602,0.936
NEE,0.5477317630671478,0.934
HST,0.5470027834932024,0.932
DAL,0.5463778290053758,0.93
UAL,0.5462746118724626,0.928
BG,0.5458097919467412,0.926
ATO,0.5456386398115376,0.924
ETR,0.5450037465352562,0.922
GL,0.5445919981651253,0.92
FDX,0.5442752483106953,0.918
APA,0.5432688744251023,0.916
F,0.5427424878741409,0.914
LRCX,0.5423071479208191,0.912
XEL,0.5421338633169519,0.91
RL,0.5419000715402053,0.908
PKG,0.541789015092028,0.906
CHRW,0.5416891420733535,0.904
AMD,0.5408762256262452,0.902
LUV,0.5407096982405967,0.9
ABBV,0.540349291927895,0.898
ECHO,0.5401746307225423,0.896
FRT,0.5401506301256709,0.894
PWR,0.5398368214212381,0.892
MRVL,0.5397018412639488,0.89
PH,0.5396219660409836,0.888
FANG,0.5395853552516634,0.886
VLO,0.5393876488157952,0.884
IEX,0.5387008016213612,0.882
EQIX,0.5384142898972347,0.88
TJX,0.5379442744156508,0.878
XOM,0.5378605385240656,0.876
DD,0.5377128320759964,0.874
LITE,0.5376424127392185,0.872
FE,0.5374673228974274,0.87
MAS,0.5373774180238594,0.868
GM,0.5368309639080264,0.866
TRGP,0.5367661421054839,0.864
MPC,0.5366843512160506,0.862
WBD,0.536562431182644,0.86
EBAY,0.5365072398364376,0.858
GNRC,0.5363200494208746,0.856
CMI,0.536178021657817,0.854
SWK,0.5359201925407502,0.852
JBL,0.5358385809359583,0.85
