ticker,prob_outperform,rank_pct
HUM,0.5854766913969791,1.0
WST,0.580776063390185,0.998
ECHO,0.5685037745260729,0.996
HPE,0.5674931898015191,0.994
NUE,0.5658805171290073,0.992
ALB,0.5650248936376592,0.99
MAR,0.5643507358032738,0.988
STLD,0.5637926944750483,0.986
CSCO,0.5635871687665052,0.984
DDOG,0.5621572165194987,0.982
AES,0.5616414729347312,0.98
MU,0.5616397134140313,0.978
MGM,0.5604561046733267,0.976
STX,0.5600869700563316,0.974
LITE,0.5596153490545698,0.972
HST,0.5589833449259444,0.97
CRWD,0.5577083394784296,0.968
FFIV,0.5574176032100531,0.966
AMD,0.5557953368646741,0.964
GL,0.5554475213815344,0.962
GOOGL,0.5550159545000425,0.96
CIEN,0.5547130011648467,0.958
CAT,0.5544480967558906,0.956
TPR,0.5530655124999653,0.954
EQIX,0.5518471629022959,0.952
INTC,0.5514823812594813,0.95
GOOG,0.5514683917950011,0.948
JBHT,0.5513305812241329,0.946
FIX,0.5510105991324565,0.944
URI,0.5504401258266385,0.942
FLEX,0.5504103406853776,0.94
MRK,0.5504001806037523,0.938
MTD,0.5500550479067803,0.936
HLT,0.5498928644596559,0.934
SNDK,0.5498620111060166,0.932
CAH,0.5492530641353638,0.93
LYV,0.5485195542426836,0.928
CRL,0.548476348853225,0.926
CINF,0.5480526041391467,0.924
PANW,0.54793611351465,0.922
UAL,0.5477397919817744,0.92
CHRW,0.5476455193225028,0.918
RL,0.5476434774412295,0.916
FITB,0.5475105927208979,0.914
GM,0.5467848697766262,0.912
MNST,0.5466386798679485,0.91
GE,0.5463359692289934,0.908
IRM,0.5462820167084137,0.906
PNC,0.5462261480547045,0.904
CDNS,0.5460308057644653,0.902
C,0.545659771486394,0.9
GEV,0.5452666100342184,0.898
AEP,0.5449322535950161,0.896
GNRC,0.5449315248438479,0.894
WAB,0.5438999726527021,0.892
DAL,0.5437860544301275,0.89
SYY,0.5436564658973699,0.888
MTB,0.5435763630897091,0.886
