ticker,prob_outperform,rank_pct
ECHO,0.5904089076576021,1.0
DAL,0.5793602828212018,0.998
INTC,0.5649710822072073,0.996
FTNT,0.563848040755104,0.994
CHRW,0.5611828417022549,0.992
MGM,0.5574384531795498,0.99
MAR,0.557041038418567,0.988
BEN,0.5569501628226184,0.986
CAH,0.5555585892662036,0.984
EBAY,0.5550358130998163,0.982
IEX,0.5535841049875584,0.98
CNC,0.5528413401119762,0.978
SNDK,0.5496185194511629,0.976
WST,0.54863628548147,0.974
WBD,0.5470809374345388,0.972
AMD,0.546757662419641,0.97
FDX,0.5466399611500476,0.968
TSN,0.5465152701261233,0.966
GOOG,0.5462100456711013,0.964
MO,0.5460428654705067,0.962
GOOGL,0.5459626993323916,0.96
AIZ,0.545598278621169,0.958
WSM,0.5455543767436081,0.956
WDC,0.5452419230872659,0.954
F,0.5434878008427788,0.952
UAL,0.5433279127962166,0.95
ROK,0.5428885390457595,0.948
PLD,0.5428791574933908,0.946
PFG,0.5427763051970833,0.944
TPR,0.5425536232848039,0.942
GL,0.5425324494087588,0.94
MNST,0.5424651061254827,0.938
LUV,0.5422788705250081,0.936
HWM,0.5414985377618494,0.934
EXPD,0.5398226659779582,0.932
ODFL,0.5384778768123949,0.93
NTRS,0.5384457837207755,0.928
DVA,0.5383283154902107,0.926
DDOG,0.5383102857602046,0.924
KEY,0.5379141212323971,0.922
DD,0.5377906264060571,0.92
CIEN,0.5373733505228517,0.918
COHR,0.5368173080656202,0.916
MRVL,0.5365846085918206,0.914
STX,0.5365150725445643,0.912
SNA,0.5364306016116284,0.91
LYV,0.5362240404988291,0.908
MTB,0.5357408407848244,0.906
HAL,0.5356464533098722,0.904
BBY,0.5354262149991997,0.902
FTV,0.5349357050634226,0.9
GE,0.5347870708608912,0.898
RL,0.5346341891053429,0.896
CSCO,0.5343536992819008,0.894
CFG,0.5340487675432313,0.892
CVS,0.533754717188271,0.89
JBHT,0.5337435550423688,0.888
REGN,0.5335585020648287,0.886
PANW,0.533505689079977,0.884
GM,0.5323286009427429,0.882
SPG,0.5321212853145028,0.88
AMAT,0.5319517430276257,0.878
STT,0.5318481921552928,0.876
DELL,0.5317742069121345,0.874
AAPL,0.53177269061781,0.872
PNC,0.5314119660699294,0.87
UPS,0.5312607095268166,0.868
STLD,0.5310607430094005,0.866
APA,0.5310282172065475,0.864
D,0.5309906073849194,0.862
PWR,0.5306100189437991,0.86
PNW,0.5306054491268103,0.858
KO,0.5305666845381131,0.856
FITB,0.5304764420608058,0.854
KIM,0.5303182050992674,0.852
KMI,0.5301265337873946,0.85
HSIC,0.5299258024896223,0.848
EQIX,0.5294107391626917,0.846
AME,0.5294051724201541,0.844
NUE,0.5291355330283694,0.842
LITE,0.528686947356237,0.84
CRWD,0.5285881864531067,0.838
RF,0.528501091295278,0.836
HST,0.5284751556578746,0.834
TGT,0.52792787021923,0.832
TFC,0.5277214766394421,0.83
MS,0.5275358168445197,0.828
AXP,0.5275014758916245,0.826
GEV,0.5272192777309551,0.824
CMI,0.5264719790886209,0.822
VRT,0.5261620799386924,0.82
LRCX,0.5260601764253032,0.818
SWK,0.525792822165167,0.816
CAT,0.5256159887183771,0.814
TEL,0.5252908105527184,0.812
USB,0.5250879815592236,0.81
GS,0.5249384350285619,0.808
PSA,0.5248078154191493,0.806
MCK,0.5248057850375779,0.804
ETR,0.5246643057619147,0.802
WMT,0.5244102931905138,0.8
MET,0.5241917223723676,0.798
C,0.5238666025060966,0.796
ALB,0.5237984718701291,0.794
AEP,0.5237499831079997,0.792
GILD,0.5234890610419299,0.79
REG,0.5233908824643193,0.788
MRNA,0.5232141804596036,0.786
FFIV,0.5229068947109238,0.784
AES,0.5227905930109105,0.782
EXPE,0.5226061744537415,0.78
HPQ,0.5224299063241503,0.778
BNY,0.5223079729919461,0.776
IRM,0.5219161725609702,0.774
NEE,0.5210212731505521,0.772
ADI,0.5209765604047355,0.77
FRT,0.520720335456543,0.768
CRH,0.5206445586676015,0.766
MAS,0.5204335794771852,0.764
KEYS,0.5203347824302313,0.762
GWW,0.5202573263606253,0.76
BLDR,0.5201196039410769,0.758
MU,0.5201107462027214,0.756
PKG,0.5198373259462454,0.754
IVZ,0.5192771259988915,0.752
ROST,0.5192205076082437,0.75
TER,0.5189346450506717,0.748
FIX,0.5189064915686016,0.746
BKR,0.5186993276929838,0.744
HPE,0.5186360512530607,0.742
SLB,0.5186350564478877,0.74
OKE,0.5182787134664683,0.738
J,0.5182454634462715,0.736
DVN,0.5179732755171317,0.734
LOW,0.517880570132211,0.732
APH,0.5178212831990787,0.73
MPC,0.5177092123135159,0.728
BIIB,0.517244637869184,0.726
UNH,0.5170603503099903,0.724
O,0.5170429418011321,0.722
HLT,0.5169312028276656,0.72
AZO,0.5165632631777799,0.718
NDSN,0.5160539559332945,0.716
LNT,0.5160199589192589,0.714
VTRS,0.514913799670864,0.712
AVGO,0.5146502743575581,0.71
MPWR,0.5145699874607674,0.708
NVDA,0.5142740803428413,0.706
PCG,0.5140107764614595,0.704
EVRG,0.513710989674694,0.702
PH,0.513317319830083,0.7
MCD,0.5132050289045043,0.698
CVNA,0.5129726739671115,0.696
A,0.5125213351422756,0.694
WMB,0.5123359191241148,0.692
JCI,0.5123253584441682,0.69
TROW,0.5121970225903718,0.688
CRL,0.5121405994247171,0.686
INCY,0.5119350801454052,0.684
CNP,0.5117546841445245,0.682
IBKR,0.5117190988114639,0.68
WAB,0.5115354576946775,0.678
HUM,0.5113853056870433,0.676
WAT,0.5111933718119512,0.674
FANG,0.5111577576001218,0.672
GLW,0.511031745353562,0.67
LLY,0.5110029960058948,0.668
LIN,0.5107627379318044,0.666
LEN,0.5105992006512194,0.664
PLTR,0.5105906140078884,0.662
XEL,0.5104586042560976,0.66
VRSN,0.5102333424148141,0.658
FSLR,0.5100698801366352,0.656
TTWO,0.5098620592639306,0.654
CMCSA,0.5096175456416021,0.652
JPM,0.509531745726691,0.65
DHI,0.5086650685775946,0.648
TRGP,0.5084568795792631,0.646
TPL,0.5083824878997202,0.644
AFL,0.5082555621966944,0.642
NTAP,0.5079468981745211,0.64
ANET,0.5079443937751387,0.638
IFF,0.5075526118033258,0.636
EME,0.5074787007941346,0.634
SBAC,0.5072356137295694,0.632
SRE,0.5071642648900854,0.63
ELV,0.5070970624168565,0.628
RJF,0.5070965075836626,0.626
TXN,0.5070839307915239,0.624
GRMN,0.5070248284509776,0.622
DE,0.5070140358622036,0.62
PM,0.5066083289016712,0.618
EIX,0.5065516084561087,0.616
NXPI,0.5064904954181143,0.614
NI,0.506345749066289,0.612
BAC,0.5059930229826051,0.61
DLTR,0.5058148816583892,0.608
FLEX,0.505654255551173,0.606
VLO,0.5055611281882527,0.604
NDAQ,0.5054609563886785,0.602
DOC,0.5050898894021487,0.6
WYNN,0.5050685800857193,0.598
ALGN,0.5048153784381493,0.596
DIS,0.5047112661185356,0.594
ACGL,0.5046789386169053,0.592
ULTA,0.5046784172680483,0.59
L,0.5045495169183442,0.588
AMGN,0.5044915357057032,0.586
HCA,0.504449914904627,0.584
ED,0.5043619815442082,0.582
CPAY,0.5042608346577405,0.58
CBRE,0.5037358401055705,0.578
PCAR,0.5031565347684637,0.576
XYZ,0.5030901568815096,0.574
VZ,0.5029229708347351,0.572
GEHC,0.5027660117628263,0.57
ABBV,0.5026788083377763,0.568
CF,0.5026201637348217,0.566
TJX,0.5025047398834621,0.564
WELL,0.502399234047234,0.562
KR,0.5023625977333586,0.56
CCL,0.5021347130616887,0.558
GNRC,0.5020417206879698,0.556
EMR,0.5019618563013285,0.554
KLAC,0.5018671396878723,0.552
HBAN,0.501774023697052,0.55
ATO,0.5016140867633546,0.548
MSI,0.5014171479671848,0.546
CVX,0.5011359671376983,0.544
ADM,0.5009168332984681,0.542
BA,0.5008150210340112,0.54
CPRT,0.5006461062054695,0.538
SCHW,0.5006083945761576,0.536
NFLX,0.5004985869619931,0.534
PEP,0.5004297214579652,0.532
UHS,0.5003853440286191,0.53
SBUX,0.5003414666779527,0.528
AMP,0.500127083813177,0.526
JBL,0.5000746795126187,0.524
NEM,0.500042936546386,0.522
EXC,0.5000078077015794,0.52
ECL,0.4994393338133015,0.518
IDXX,0.4993357260115251,0.516
RMD,0.49910071787063914,0.514
HUBB,0.4984642791481756,0.512
FCX,0.49834517015127117,0.51
CL,0.4983078634691466,0.508
MRK,0.4982266756643199,0.506
PPG,0.4981124455553878,0.504
ROL,0.49804463905585783,0.502
MMM,0.4978226439307661,0.5
SOLV,0.49779773573502994,0.498
DG,0.49771338158367223,0.496
CSGP,0.4975676427261195,0.494
FOX,0.497556417520296,0.492
BG,0.49749933680512143,0.49
