,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
tau1.00,-0.05724480855863523,0.10306066814341668,-0.5202860696874448,-0.6994362205418356,-0.557291797004274,-0.10271963245530456,0.4914394419784401,-0.42355311956846364,3155.0,62.045084547809324,0.06213599940141166,0.017349326541219585,3.108810134280861
tau0.25,-0.012891081642332436,0.09045001436210626,-0.09814498608536626,-0.13394167068423732,-0.3820697106828611,-0.03374012982942985,0.5114140773620799,-0.4756459600943728,3155.0,17.135987934009876,0.017376977701347426,0.017349326541219585,3.108810134280861
tau0.10,-0.00930106027893518,0.0826774283073945,-0.07160106123900559,-0.09743407511388898,-0.3498584424139597,-0.026585210334670085,0.510145846544071,-0.6248052898903361,3155.0,6.995807347300779,0.007177410634443155,0.017349326541219585,3.108810134280861
