,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,gross_exposure,ic_mean,ic_t
weekly_h5_tau1.00,-0.011548543477864714,0.0711401912581718,-0.12769735315904193,-0.1767692467545801,-0.2896376401044942,-0.039872384934838856,0.5058855735012319,-0.13014435546782954,3654.0,67.81669208833351,0.03390834604416676,1.0,0.012478165331770482,2.3532628917645844
weekly_h5_tau0.25,0.0035121533317925557,0.04884018295886094,0.09620250929863079,0.13508850279763152,-0.1586883154250377,0.022132400374819353,0.5069805639200657,-0.06033100372475661,3654.0,18.195345344009873,0.009097672672004935,0.8028773917433825,0.012478165331770482,2.3532628917645844
weekly_h5_tau0.10,0.001789198172075901,0.03586553092065534,0.0677822085955334,0.09315594050075525,-0.12020260280786677,0.014884853824137036,0.5130030112236518,-0.4538770460432714,3654.0,7.052777631251776,0.003526388815625888,0.6092878259429644,0.012478165331770482,2.3532628917645844
weekly_h5_tau0.05,-0.0013197244181577528,0.027332563597081756,-0.03463913868103333,-0.04647716279133775,-0.11101568651374627,-0.011887729199371666,0.5195729537366548,-0.8763529563292279,3654.0,3.380291533603458,0.001690145766801729,0.46772348570707245,0.012478165331770482,2.3532628917645844
monthly_h21_tau1.00,-0.0007241861593133558,0.05554122703057681,0.01470686825018849,0.02119616737406664,-0.23407656687278,-0.0030938003277660386,0.4834892680242157,0.23578735795544628,3640.0,21.474689897919525,0.010737344948959757,0.9980769230769231,-3.476324768504624e-05,-0.004632351871744448
monthly_h21_tau0.50,-0.00033727886820023034,0.03697097110171675,0.00933970799415279,0.013677997334690741,-0.13966781069243672,-0.0024148647174183466,0.4870665932856357,0.6001569956180516,3640.0,10.341241206753878,0.0051706206033769395,0.8459952489134474,-3.476324768504624e-05,-0.004632351871744448
monthly_h21_tau0.25,6.620406171498061e-05,0.02476833819774508,0.015046354758271024,0.0220461111312089,-0.08763166382860044,0.0007554810535660916,0.49394606494221244,0.5768935547359055,3640.0,4.835636424215286,0.002417818212107643,0.6569592724345602,-3.476324768504624e-05,-0.004632351871744448
