,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
tau1.00,-0.22497801070235657,0.28245040038452673,-0.7565808548218387,-0.9360852247927971,-0.9251197047891775,-0.24318799992875093,0.5044814340588989,-2.0534778660416095,2394.0,72.12390921178515,0.07212390921178516,0.016548108589948877,1.5222424278556532
tau0.25,0.927958898333618,293.31031471487296,0.3242738447375555,870.4148965079709,-0.4830247907225832,1.9211413495887728,0.5100298762270593,48.928501221727664,2394.0,18.64488255873843,0.01864488255873843,0.016548108589948877,1.5222424278556532
tau0.10,1.0717419029179065,395.4874229156387,0.32440588774644397,1737.7676825154747,-0.3662513412070504,2.926247039494187,0.5108834827144686,48.928514539741855,2394.0,7.348201235509995,0.0073482012355099964,0.016548108589948877,1.5222424278556532
