,sharpe_2013-2019,sharpe_2019-2026,sharpe_full
reversal_1990,0.16825093386126627,-0.5067746514808636,-0.2504611763862869
momentum_1993,0.27641476463294173,0.33160437062049564,0.2841296344895415
hi52_2004,-0.00031518692890515143,0.11683413958554456,0.07302130080023754
lowvol_2006,-0.0025142518064258487,-0.20458715469186486,-0.10074703484261738
max_lottery_2011,-0.006481695951818797,-0.3190812473510583,-0.17012219133577308
overnight_2016,-0.4832554443694863,-0.5502388278045668,-0.4978940346300493
illiquidity_1996,-0.32587543810474184,-0.4634807207869808,-0.4031809890810465
turn_of_month_1968,0.4763513792660683,0.537668923080127,0.5110014094557624
