,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann
ma_cross_50_200,0.0015205062103083034,0.012458190622971902,0.12818575725777634,0.1765972051263863,-0.05034508997514475,0.030201678278040094,0.513677811550152,-0.41593980691970506,5874.0,2.1158301202367187,0.0008703570135625724
tsmom_252,0.002271963760482887,0.027730223831305568,0.09570460999799352,0.13255828879531392,-0.12231587155103674,0.01857456216983993,0.5141433908557196,-0.21406863663723277,5874.0,28.615800241001377,0.007570045897125516
ma_cross_20_100,0.0007235951572930333,0.014009664604707702,0.05863512397698417,0.0823171098792839,-0.058837387104101246,0.012298220449741814,0.5095111111111111,-0.09243013586336782,5874.0,4.245712711804102,0.0016925432573555311
tsmom_126,-0.003279880943283686,0.027585005247120837,-0.10530497292119816,-0.14695592732788626,-0.19658503402798932,-0.016684286062268117,0.5000870019140421,-0.0025454115715712604,5874.0,34.76882149503971,0.009680125490057485
rsi_rev_14,-0.0031261232255859195,0.012036095115750448,-0.2541146716979062,-0.349395863581688,-0.10510727658438834,-0.029742215069915003,0.4738296769735706,-0.7829714949413916,5874.0,23.367988282919754,0.007700017840825572
tsmom_63,-0.008404286988360488,0.02750539040215535,-0.2930881785269852,-0.40873549141576865,-0.22318477555967353,-0.037656184062220724,0.4989672977624785,0.16315481468183862,5874.0,42.03063938933156,0.011916973131383143
boll_rev_20_2,-0.0026068257902631675,0.007712415599466705,-0.3345878756575227,-0.4593921317942454,-0.07876317524455356,-0.03309701243213183,0.44293968941856265,0.10428864650221736,5874.0,18.07067520266281,0.0064010039253068855
macd_12_26_9,-0.011672089466813196,0.027945165576328458,-0.40616229199389964,-0.5825162681798801,-0.2527688197510244,-0.04617693542387913,0.47761961927628194,0.494720276577449,5874.0,46.478259928717,0.01384374055830247
buy_hold_GSPC,0.0890935057447344,0.18764107050231243,0.5489340651826198,0.7693786865451507,-0.5677538774277289,0.15692276052500476,0.5470130788264405,-0.20691807541420737,5660.0,,
ma_cross_50_200_lag2,0.0015787337386594658,0.01255180858292221,0.1319547733813257,0.18188591420052583,-0.048336839107196994,0.032661087647007606,0.5152954588637659,-0.41124957212574625,5874.0,2.115762166344016,0.0008703159504249176
ma_cross_50_200_with_stocks,0.0014564614675511844,0.011871039156337809,0.12853713426159116,0.17704524831295185,-0.04790882107678651,0.030400695212616922,0.513677811550152,-0.4211632669686676,5874.0,2.0166852213054,0.0008294467882151829
