,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
weekly_tau0.10,-0.0004412096928163578,0.03518819063170079,0.005056900396599555,0.006961161403376309,-0.12763957312071894,-0.0034566841773990466,0.5078018067341911,-0.33404020605438767,3654.0,6.573306512484799,0.0032866532562423993,0.01062921339296331,2.363026533964307
monthly_tau0.50,0.0016232526402157887,0.034563673943483295,0.06419592143847215,0.09225797903351324,-0.10672525033946167,0.015209640034131557,0.4988992845349477,0.3002498416510947,3640.0,8.383430451455231,0.004191715225727616,0.005326026184824844,0.8281356661553159
monthly_tau0.25,0.0019235204460434918,0.028492905829714706,0.08168482546545881,0.11636546985345385,-0.0874572429911401,0.02199383813457686,0.4972482113373693,0.1104646518888486,3640.0,4.372073054660092,0.002186036527330046,0.005326026184824844,0.8281356661553159
blend_c7,0.0010803905909388956,0.02712692718154877,0.05336600648952816,0.07511860645424966,-0.07282452175142184,0.014835532935275359,0.508349301943608,-0.025456099828761604,3654.0,5.059169402061857,0.0025295847010309287,,
