,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ic_mean,ic_t
A_fund_plus_sue,0.0023079830186281125,0.027967545030932565,0.0964063165787996,0.13813417415194923,-0.08417767665150178,0.027417993824933356,0.49669785360484314,0.15233801912876216,3640.0,0.007648394782573197,1.17077793533193
B_fund_plus_gp,0.007786554424961345,0.031847528514189094,0.25946686370085936,0.3758518059125931,-0.05773436878385363,0.13486861619831172,0.5085305448541552,0.17757674788979583,3640.0,0.010972733329104188,1.5268203029779348
C_fund_only,0.007854332071696835,0.030315153411439484,0.2732304679640214,0.39713044740750997,-0.0630598587674307,0.12455359439773211,0.507705008255366,0.19549613962962334,3640.0,0.01201047500429457,1.6783909216757407
