date,ml,tsmom_252
2012-01-02,0.0,-5.142699043801281e-05
2012-01-03,0.0,-0.0002136355880609307
2012-01-04,0.0,-0.0004254091788455433
2012-01-05,0.0,0.0011045573799302638
2012-01-06,0.0,0.0008981912559148219
2012-01-09,0.0,0.0005410732699545972
2012-01-10,0.0,-0.002270012798680744
2012-01-11,0.0,-0.0006271844160154442
2012-01-12,0.0,0.001334217699087846
2012-01-13,0.0,-0.0002946062608240629
2012-01-16,0.0,0.0009982642743633792
2012-01-17,0.0,-0.0014353074124763621
2012-01-18,0.0,-0.001169050568997809
2012-01-19,0.0,-0.002541702476687717
2012-01-20,0.0,-0.002330248323419345
2012-01-23,0.0,3.6725098625279816e-05
2012-01-24,0.0,-0.001134535421942264
2012-01-25,0.0,-0.0001979079905499231
2012-01-26,0.0,-0.0008911597211763897
2012-01-27,0.0,0.00257597739703675
2012-01-30,0.0,0.00014880675654285134
2012-01-31,0.0,0.0015006001677063876
2012-02-01,0.0,-0.0014352084061222607
2012-02-02,0.0,-0.0013760315017807806
2012-02-03,0.0,-0.0018111220100073908
2012-02-06,0.0,-0.0007748083246621381
2012-02-07,0.0,0.0002479533834112193
2012-02-08,0.0,-0.0015568293570163297
2012-02-09,0.0,-0.000633533659864547
2012-02-10,0.0,0.00015339485762616353
2012-02-13,0.0,-0.0005851122723006215
2012-02-14,0.0,0.0013189774984333508
2012-02-15,0.0,-0.0007467732752218407
2012-02-16,0.0,-3.6463813566829085e-05
2012-02-17,0.0,-0.0015166036498310946
2012-02-20,0.0,-0.0019304277213160778
2012-02-21,0.0,-9.476027059538129e-05
2012-02-22,0.0,0.0001800777369820624
2012-02-23,0.0,-0.00017018137302932806
2012-02-24,0.0,0.00016072122189898606
2012-02-27,0.0,-0.0010704458482868428
2012-02-28,0.0,-0.00032411205948444335
2012-02-29,0.0,-0.0011284783728908378
2012-03-01,0.0,0.0005192762840112021
2012-03-02,0.0,-0.00012907511969209606
2012-03-05,0.0,-0.00013397238621070312
2012-03-06,0.0,-0.001099698933361426
2012-03-07,0.0,-0.0006725923216073167
2012-03-08,0.0,-0.00217589206591105
2012-03-09,0.0,-0.0012741328277207282
2012-03-12,0.0,0.0010316440525527095
2012-03-13,0.0,-0.0018705195273295352
2012-03-14,0.0,-0.0007437651109929813
2012-03-15,0.0,-0.0003901974132232793
2012-03-16,0.0,0.000771562372924548
2012-03-19,0.0,-0.0011320928710826924
2012-03-20,0.0,0.0001792592418978147
2012-03-21,0.0,0.00035783181315344814
2012-03-22,0.0,0.0014324743344534892
2012-03-23,0.0,0.0006120632948458727
2012-03-26,0.0013290711573619475,-0.000550317745148451
2012-03-27,0.0004480171505843083,-0.00047325637279258865
2012-03-28,-0.00022478194990194867,0.0017085582593076344
2012-03-29,-0.00057856639564327,0.0029343595636916664
2012-03-30,-0.0005103489059909052,-0.0013099394781300381
2012-04-02,0.0011845154996305229,-0.00228677004235649
2012-04-03,-0.00083901841698659,0.0008899243967763837
2012-04-04,0.00033100581270689835,0.001961600653488946
2012-04-05,-0.0006998536000005652,0.0017294275759316652
2012-04-06,-0.00039692226082876486,0.0006360485060308722
2012-04-09,-0.00011984060063954952,0.0008254844611009749
2012-04-10,-0.00018580946793386136,0.0005181260267625901
2012-04-11,-0.000359279473813444,0.001875620950042411
2012-04-12,0.0003531054990876203,-0.0019267834647336193
2012-04-13,-0.00016892883177435135,0.0003202622504716248
2012-04-16,-0.0007169946081813179,0.0024195430209630856
2012-04-17,-0.0001817890343549404,-0.002123329223398819
2012-04-18,0.0009028344239302153,-0.00028470545468806563
2012-04-19,0.00016123805040080909,0.00048571520974578027
2012-04-20,0.00017177565452678156,-0.0005824834120861942
2012-04-23,9.256135693919994e-05,0.001194057529210555
2012-04-24,-9.13665722912233e-06,-0.0003622518568469639
2012-04-25,0.00020021350959858065,-0.0005738785039272336
