,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
nm_rank_combo_annual,-0.0004497691479741217,0.029396412965185574,-0.000601148338564985,-0.0008457199173540883,-0.11251944200700259,-0.003997257184639527,0.4963084495488105,-0.4373856141893267,3657.0,0.7378758977225082,0.00036893794886125385,,
fund_tau1.00,-0.006092748002201387,0.06387530825276623,-0.0637600094947966,-0.08974433577069943,-0.20035217340241973,-0.03041019170759743,0.5099917875718587,0.19079819043487417,3654.0,55.47851891301613,0.027739259456508077,0.01047825546074162,2.218272937343907
fund_tau0.25,0.004897812659799383,0.0451451287174471,0.13078268205337407,0.18698649584774873,-0.14205625340990202,0.034477979970841476,0.505338078291815,0.2470085587043197,3654.0,16.15101273009681,0.008075506365048406,0.01047825546074162,2.218272937343907
fund_tau0.10,0.006005816944656628,0.03425911228815869,0.1919084834478038,0.27105801163927723,-0.10857553567792577,0.05531464254039739,0.5140980016424856,-0.015434498387019963,3654.0,6.6885661507853555,0.003344283075392678,0.01047825546074162,2.218272937343907
