,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,gross_exposure
tau_1.00,0.0013668630617420519,0.07617503271432277,0.05597085315177753,0.0798662854602526,-0.23306713082872166,0.005864675370061271,0.511908020804818,0.36608014408905726,3654.0,67.97110078945947,0.033985550394729745,1.0
tau_0.50,0.01235893673882793,0.06178712892443891,0.2296642923762916,0.3303630876442069,-0.17094248392950018,0.07229880164795653,0.5182042157131125,0.32403519562504157,3654.0,36.1111167750925,0.01805555838754625,0.928881994130861
tau_0.25,0.01729495301685202,0.049089736227528324,0.3738367006859109,0.5425117030618766,-0.10659692269430743,0.1622462692140701,0.5201204489460717,0.27811055725523004,3654.0,18.32463272325825,0.009162316361629124,0.7978509277811264
tau_0.15,0.017315460793211113,0.04027486763075853,0.44639233723751714,0.6476790836837123,-0.0784480199644082,0.22072527517032453,0.5198467013413632,0.1679890530502284,3654.0,10.824050309606434,0.005412025154803219,0.6824994204585781
tau_0.10,0.015931124751508374,0.03394221739642923,0.4826401470889263,0.6960897752074883,-0.06749651244063237,0.23602885801723233,0.517930468108404,0.0372165961483436,3654.0,7.056728266015291,0.0035283641330076452,0.5899721414620133
tau_0.05,0.012314907371130168,0.025097325182260485,0.500247706623559,0.7121125050671268,-0.05247421918101569,0.23468490933897496,0.5236791678072816,-0.14008396114645896,3654.0,3.359059414850721,0.0016795297074253606,0.44212864042071387
