,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover
ls_weekly_h5_net,-6.813358888091425e-05,0.07699971413201694,0.03756170577792547,0.05362288098865628,-0.21958492567669385,-0.00031028354369475633,0.5170236133992312,0.41005618757510226,3643.0,45.86045363026092
ls_monthly_h21_net,0.013689896507042443,0.06027537599349798,0.2556606636157183,0.3816857832912277,-0.16037447032459906,0.08536206840985348,0.4986218302094818,0.7779404791988662,3643.0,14.328181102074725
shuffled_control,-0.034517163967494824,0.0408195206636412,-0.8401069290202228,-1.1979765128145445,-0.4258926963089281,-0.08104662105418507,0.4643053267435475,0.9057084461395424,3643.0,51.66255282511186
