,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
tau1.00,-0.19905748420105707,0.282755209637738,-0.6404437078470694,-0.8056883039727862,-0.8964135214944234,-0.22205988578709251,0.5292360221937686,-1.4206215339228614,2394.0,71.88342308392434,0.07188342308392436,0.022295170738765836,1.9912177302476795
tau0.25,-0.08923803746239889,0.14803064991499326,-0.5571653787324509,-0.7379710975655993,-0.6841655084061904,-0.13043340590244734,0.5096030729833547,-0.2745326103522413,2394.0,18.642923461945024,0.018642923461945026,0.022295170738765836,1.9912177302476795
tau0.10,-0.044110194226223975,0.1013953792830646,-0.39412159865544627,-0.5293708937424976,-0.5227230783905905,-0.08438539649336821,0.5044814340588989,-0.29325454476118024,2394.0,7.376663607554576,0.007376663607554576,0.022295170738765836,1.9912177302476795
