,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover
ml_oos,-0.0073904733133044465,0.016621324830307923,-0.43796814298278525,-0.5756810360070653,-0.1483528330376045,-0.04981686673574416,0.4983888292158969,-0.9884611874867055,3787.0,29.53743115103675
tsmom_252_oos,0.0021688910588200105,0.02475658425348886,0.09988899825287335,0.14096282191831036,-0.07524220128328862,0.028825459939085057,0.5035648270398733,0.012924219934343985,3787.0,28.615800241001377
ml_shuffled,-0.0005351374380975216,0.0166096503150727,-0.023916060814891584,-0.031615659445896054,-0.09693647157240615,-0.0055204963561914224,0.5182599355531686,-1.4276004742209636,3787.0,23.401955113360525
