,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,ic_mean,ic_t
weekly_tau0.15,0.00632692771410448,0.03896881035561476,0.18132389947074545,0.2583153455331864,-0.12298679612804808,0.05144395913458205,0.5130030112236518,0.13726746152718963,3654.0,9.932462002031333,0.0049662310010156665,0.01047825546074162,2.218272937343907
weekly_tau0.05,0.004026054927290801,0.027302671828564253,0.16081610000693194,0.2245485291395528,-0.08937504029330468,0.045046748108626064,0.5130030112236518,-0.21626623462065522,3654.0,3.355586687708549,0.0016777933438542744,0.01047825546074162,2.218272937343907
weekly_tau0.03,0.003303218070799474,0.023357323365088337,0.15286710179061339,0.21360293888364398,-0.07617184045959369,0.04336534408081826,0.5102655351765673,-0.24200573993140786,3654.0,2.002212878017021,0.0010011064390085106,0.01047825546074162,2.218272937343907
monthly_tau1.00,0.00806680389160963,0.05341252513289463,0.17709362325156192,0.25883724049145573,-0.16544341947062524,0.04875868691194397,0.5093560814529444,0.5217606279539445,3640.0,17.037768334632307,0.008518884167316153,0.01201047500429457,1.6783909216757407
monthly_tau0.50,0.007623122450302056,0.03968836891089043,0.2111719531497969,0.3097208013186986,-0.0983381017745838,0.07751952003076297,0.5024766097963677,0.47822053110285645,3640.0,8.803888303962514,0.004401944151981258,0.01201047500429457,1.6783909216757407
